Movie Title,movie_id,release_date,genres,casts,directors,writers,producers,plot_summary,votes,rating
3 idiots,1187043,25 Dec 2009,Comedy & Drama,"['Jigmet Dorjey', 'Rohitash Gaud', 'Omi Vaidya', 'Farida Dadi', 'Aakash Dabhade', 'Smriti', 'Aamir Khan', 'Debashish Naha', 'Bharat Jha', 'Supriya Shukla', 'Pundit Prayag Raj', 'Tsanwal Namgyal', 'Dileep Desai', 'Sarvanna', 'Freny Bhagat', 'Hitesh Tak', 'Sonu', 'Malvika Singh', 'Atul Tiwari', 'Amardeep Jha', 'Arun Bali', 'Dilshad Edibam', 'Rajeev Ravindranathan', 'Praful Kulkarni', 'Insia Lacewalla', 'Parikshit Sahni', 'Chaitali Bose', 'Tanveer Ahmed', 'Nishi Singh', 'Komal Jha', 'Pitobash', 'Kareena Kapoor', 'Shoaib Ahmed', 'Harvinder Singh', 'Kumar Veer Singh', 'Sitaram Sharma', 'Dinesh Kumar', 'Rajendra Patwardhan', 'Sharman Joshi', 'Mona Singh', 'Achyut Potdar', 'Madhav Vaze', 'Trilok Sadhwani', 'Shankar Sachdev', 'Kishor Patil', 'Annapurna Kaul', 'Vaidyanathan', 'Shailja Dhar', 'Raghunathan', 'Olivier Lafont', 'Keshav Rae', 'Ali Fazal', 'Madhavan', 'Javed Jaffrey', 'Meghna Bhalla', 'Rahul Kumar', 'Dushyant Wagh', 'Rakesh Sharma', 'Pooja Goswami', 'R.S. Kodange', 'Akhil Mishra', 'Jalil Parkar', 'Michael Joseph', 'Apul Jaisinghani', 'Lata Kurdikar', 'Boman Irani', 'Dharmendra Bhurji', 'Mukund Bhatt', 'Sanjay Sood', 'Jayant Kripalani', 'Elihud George', 'Suhas Vaidya', 'Saurabh Agnihotri', 'A.S. Duggal', 'Dayal Sharma']",['Rajkumar Hirani'],"['Vidhu Vinod Chopra', 'Abhijat Joshi', 'Rajkumar Hirani', 'Chetan Bhagat']","['Ravi Sarin', 'Anil Davda', 'Manu Sud', 'Vidhu Vinod Chopra', 'Aman Mahajan', 'Sanjiv Kishinchandani', 'Deepak Bhagra', 'Vir Chopra']","Farhan Qureshi and Raju Rastogi want to re-unite with their fellow collegian, Rancho, after faking a stroke aboard an Air India plane, and excusing himself from his wife - trouser less - respectively. Enroute, they encounter another student, Chatur Ramalingam, now a successful businessman, who reminds them of a bet they had undertaken 10 years ago. The trio, while recollecting hilarious antics, including their run-ins with the Dean of Delhi's Imperial College of Engineering, Viru Sahastrabudhe, race to locate Rancho, at his last known address - little knowing the secret that was kept from them all this time.",364714.0,8.4
taare zameen par,0986264,21 Dec 2007,Drama & Family,"['Abhishek Bachchan', 'Munireh Guhilot', 'Aamir Khan', 'Meghna Malik', 'Girish Kumar Menon', 'Rajgopal Iyer', 'Ravi Khanvilkar', 'Veer Mohan', 'Bugs Bhargava Krishna', 'Sanjay Sinha', 'Jadav', 'Gurkirtan', 'Girija Oak', 'Sachet Engineer', 'Gurdeepak Kaur', 'Brihan Lamba', 'Ricky', 'Ramit Gupta', 'Sonali Sachdev', 'Aniket Engineer', 'Prashant', 'Shankar Sachdev', 'Pratima Kulkarni', 'Vivekanandan', 'Ayaan', 'Arnav Valcha', 'Darsheel Safary', 'Sanjay Dadich', 'Megha Bengali', 'Krishn Gopinath', 'Alorika Chatterjee', 'M.K. Raina', 'Tanay Chheda', 'Lalitha Lajmi', 'Madhav Datt', 'Tisca Chopra', 'Samir Rajda', 'Vitthal', 'Vipin Sharma']","['Aamir Khan', 'Amole Gupte']",['Amole Gupte'],"['Sunitha Ram', 'Aamir Khan', 'B. Shrinivas Rao', 'Kiran Rao', 'Sanjeev K. Bijli', 'Manoj Shroff', 'Ajay Bijli']","Ishaan Awasthi is an eight-year-old child whose world is filled with wonders that no one else seems to appretiate are just not important in the world of adults, who are much more interested in things like homework, marks and neatness. And Ishaan just cannot seem to get anything right in class. When he gets into far more trouble than his parents can handle, he is packed off to a boarding school to 'be disciplined'. Things are no different at his new school, and Ishaan has to contend with the added trauma of separation from his family. One day a new art teacher bursts onto the scene, Ram Shankar Nikumbh, who infects the students with joy and optimism. He breaks all the rules of 'how things are done' by asking them to think, dream and imagine, and all the children respond with enthusiasm, all except Ishaan. Nikumbh soon realizes that Ishaan is very unhappy, and he sets out to discover why. With time, patience and care, he ultimately helps Ishaan find himself.",179278.0,8.4
pk (film),7424106,,Documentary,['David Aitken'],['Kiyotaka Tsurisaki'],,['Kiyotaka Tsurisaki'],['A collection of short documentaries pondering about the meaning of life and death by the use of shocking images.::mrdonleone'],23.0,5.9
dangal (film),14161518,15 Aug 2020,Short & Musical,"['Nafisa Shama Probha', 'Shahrina Sharmin', 'Rahmatullah', 'Sheikh Al Daiyan', 'Fitria Purbowati']",['Raymond Salomonn'],['Raymond Salomonn'],['Raymond Salomonn'],['This musical film is dedicated to the children of those assassinated in a coup on 15 August 1975 in Bangladesh.'],,
rang de basanti,0405508,26 Jan 2006,Comedy & Crime & Drama,"['Alice Patten', 'Siddharth', 'Aamir Khan', 'Kunal Kapoor', 'Vijai Singh', 'Cyrus Sahukar', 'Om Puri', 'Anupam Kher', 'Sharman Joshi', 'Mohan Agashe', 'Lekh Tandon', 'Jagdeep Singh', 'Steven Mackintosh', 'Asif Ali Baig', 'Madhavan', 'Manmeet Singh', 'Chandan Roy Sanyal', 'Abhishek Banerjee', 'Soha Ali Khan', 'Waheeda Rehman', 'Pravishi Das', 'Atul Kulkarni', 'K.K. Raina', 'Kirron Kher', 'Mukesh Chhabra']",['Rakeysh Omprakash Mehra'],"['Kamlesh Pandey', ""Renzil D'Silva"", 'Prasoon Joshi', 'Rakeysh Omprakash Mehra', 'Ajeet Ghorpade']","['Guruprasad M.', 'Shyam P.S.', 'Zarina Mehta', 'David Reid', 'Deven Khote', 'Sanjay Singh', 'Adam Bohling', 'Ram Mirchandani', 'Ronnie Screwvala', 'Rakeysh Omprakash Mehra']","Sue comes to India to make a film on Indian revolutionaries.She is helped by her friend Sonia who introduces her to her friends Karan,Aslam,Sukhi and their head DJ.Sonia's fiance Lt Ajay Rathod also joins the gang when in town.Their gang always gets in trouble with a political member Laxman who opposes their western culture.After many auditions Sue decides to caste DJ and his friend's in her film.She also casts Laxman in a role thus ending his feud with the gang.All things are going well until Ajay dies in plane crash but manages to save everyone on board.The state minister declares that Ajay died due to his own negligence .DJ an his friends can't take shame given to Ajay by minister and decide to fight for justice.Where things will take ugly events due to political games.",116006.0,8.1
lagaan,0169102,15 Jun 2001,Drama & Musical & Sport,"['Suhasini Mulay', 'Paul Blackthorne', 'John Rowe', 'Aamir Khan', 'Pramatesh Mehta', 'Neil Patrick', 'Alex Shirtcliff', 'Yashpal Sharma', 'Daya Shankar Pandey', 'Anu Ansari', 'Rajesh Vivek', 'Simon Holmes', 'Chris England', 'Howard Lee', 'David Gant', 'Pradeep Singh Rawat', 'Raghuvir Yadav', 'A.K. Hangal', 'Bhim Vakani', 'Jon House', 'Jamie Whitby Coles', 'Ben Nealon', 'Parveen Bano', 'Amitabh Bachchan', 'Gracy Singh', 'Javed Khan', 'Jeremy Child', 'Raj Zutshi', 'Anupam Shyam', 'Rachel Shelley', 'Ray Eves', 'Amin Gazi', 'Amin Hajee', 'Barry Hart', 'Kulbhushan Kharbanda', 'Rajendra Gupta', 'Shri Vallabh Vyas', 'Aditya Lakhia', 'Akhilendra Mishra', 'Raja Awasthi']",['Ashutosh Gowariker'],"['Sanjay Dayma', 'K.P. Saxena', 'Kumar Dave', 'Ashutosh Gowariker']","['Reena Dutta', 'Aamir Khan']","This is the story about the resilience shown by the Indians when they were under the British Rule. They are already taxed to the bone by the British and their cronies, but when Jack Russell announces that he will double the Lagaan (tax) from all villagers, they decide to oppose it. Leading the villagers is a handsome young man named Bhuvan, who challenges them to a game of cricket, a game that is to be played by veteran British cricket players, versus villagers, including Bhuvan himself, who have never played this game before, and do not even know a bat from a piece of wood. As the challenge is accepted, the interest grows and attracts Indians from all over the region, as well as the British from all over the country - as everyone gathers to see the 'fair play' that the British will display against their counter-parts, who are aided by none other than the sister, Elizabeth, of Captain Rusell.",108832.0,8.1
my name is khan,1188996,12 Feb 2010,Drama,"['Larry Brown', 'Tonya Williams', 'Tim Banks', 'Kenyon Page', 'Ed Price', 'Reed Rudy', 'Nate Sil', 'Courtney Gebhart', 'Richard Rubin', 'Todd Hedrick', 'Ilona Marino', 'Casey Nihart', 'Susie Sahar Sabry', 'Ron Provencal', 'Timothy Hinson', 'Adarsh Gourav', 'Jeffrey T Ferguson', 'Jeff Redlick', 'Victor M. Slone', 'Nicolas Pajon', 'Anne Scottlin', 'Arnav Chhapwale', 'Donn Andrew Simmons', 'Rick Mischke', 'Jenne Kang', 'Elaine A. Clark', 'Kevin Jessup', 'Paul Meyer', 'David Pearl', 'Christopher Villar', 'Kari Wishingrad', 'Nanka Becko', 'Diana M. Kim', 'Donna Cederlund', 'Thomas Dalby', 'Arif Zakaria', 'Brent Mendenhall', 'Birol Tarkan Yildiz', 'Zarina Wahab', 'Dani Bocca', 'Brian Sampson', 'Giovanni Jones', 'Jon Mercurio Knight', 'George Q. Nguyen', 'Rod Britt', 'Mike Stahl', 'Isa Magomedov', 'Jimmy Sheirgill', 'Tracy Weisert', 'Ajani Perkins', 'Shay Fernàndez', 'Laura Meadows', 'Kavin Dave', 'Connie Chung Kim', 'Sheila Cavalette', 'Allen Pontes', 'Abhin Mudgal', 'Jennifer Echols', 'John Lane', 'Mark S. Porro', 'Sheetal Menon', 'Yuvaan Makar', 'Ali Dean', 'John Clerkin', 'Emily Seaman', 'Sumeet Raghvan', 'Waymond Lee', 'Ethynn Tanner Cerney', 'Henry Schiaeffer', 'Steffany Huckaby', 'Tom Portanova', 'Keenan Allen', 'Benny Nieves', 'S.M. Zaheer', 'Jeremy Morgan', 'Kristen Marie Holly', 'Richard Rubin', 'Milan Raggio', 'Jim Gaines', 'Jackie Honea', 'Krystal MacKnight', 'Micky Makhija', 'Peggy Sandow', 'Ryan Harpole', 'Patrick J. Crabb', 'Dominic Renda', 'Michael Patrick Breen', 'Joseph Zinsman', 'Jennifer Linkous', 'Sarfaraz', 'Joe Bucaro III', 'Adrian Bustamante', 'Goldie Chan', 'Danny Wilson', 'Harmony Blossom', 'Michael Andrew Reed', 'Steven Lindo', 'Aryan Desai', 'Yaana Makar', 'Tara R. Cook', 'Frederick Keith Johnson', 'Joan Estrada', 'Jaikishen Bhatia', 'Willoughby Charles Jenett', 'Katie A. Keane', 'Aubrey K. Miller', 'Arjun Mathur', 'Julie McKinnon', 'David Dustin Kenyon', 'Adrian Kali Turner', 'Pamela Broyles', 'Christopher B. Duncan', 'Steve C. Porter', 'James Seaman', 'Christopher Sugarman', 'Doran Reed', 'Catherine Kim Poon', 'Sugandha Garg', 'Kerry Leigh Michaels', 'Christine Q. Nguyen', 'Timothy Roberts', 'Will James Johnson', 'Leslie Thurston', 'Kathleen M. Darcy', 'James D. Weston II', 'Michael William Arnold', 'Kyle Hamon', 'Don Abernathy', 'Janis Jones', 'Zachary Culbertson', 'Carol Shook', 'Mel Fair', 'Josene Honea', 'Stuart G Murphy', 'Chirag Dave', 'Scot Coker Free', 'Rachael Ferris', 'Bonnie Kolber', 'Alka Pradhan', 'Manoj Amarnani', 'Patrick D Bridges', 'Retson Ross', 'Greg Collins', 'Jennifer Barbosa', 'Dominic Flores', 'Teresa Guewell', 'Shah Rukh Khan', 'Steve Dakota', 'Mukesh Tripathi', 'Fred Fein', 'Michele Marsh', 'Sean Grady', 'Laxmi Baveja', 'Brett Glazer', 'David Alan Poe', 'Alyssa Petersen', 'Farroukh Mehta', 'Davi Silveira', 'Len Anderson IV', 'Kellie Daniel', 'Chantelle Tibbs', 'Natasha Marc', 'Lori Dorfman', 'Awele Makeba', 'Juan Simmons', 'Parvin Dabas', 'Sean Laughlin', 'Mackenzie Firgens', 'Kenton Duty', 'Jeremy Kilpatrick', 'Martin Andris', 'John Peddie', 'Nathalie Tedrick', 'Vijay Badlani', 'Monique Soltani', 'Mark Lavell', 'Navneet Nishan', 'Marquis Scott', 'Mary Gregory', 'Amanda Michelle Foschia', 'Faisal Simon', 'Ben Milliken', 'Annie Lore', 'Carl Marino', 'Jesse Muick', 'Douglas Tait', 'Shannen Elise Wilson', 'Thomas W. Stewart', 'Pallavi Sharda', 'Daniel Lee', 'Speir Rahn', 'Kajol', 'Meena Sonavane', 'Bennie Bell', 'Veronica Loud', 'Mike Howard', 'Jonathan Matthew Wilson', 'Adam Park', 'Nancy Duerr', ""A'Ali de Sousa"", 'Nicholas Lourme', 'Montgomery Paulsen', 'Tanay Chheda', 'Tarun Mansukhani', 'Mick Lea', 'Arjan Aujla', 'Vinay Pathak', 'Christopher Damm', 'Katy Tiemann', 'Theresa Marie Lynch', 'Beth Bemis', 'Erika Pearson', 'Kevin Oestenstad', 'Duane Ram', 'Cabran E. Chamberlain', 'Shane Harper', 'Sonya Jehan']",['Karan Johar'],"['Shibani Bathija', 'Niranjan Iyengar']","['Prashant Shah', 'Apoorva Mehta', 'Sumit Chawla', 'Hiroo Johar', 'Pravin Khairnar', 'Gauri Khan', 'Shamiraah Nambiar']","Rizwan Khan, a Muslim from the Borivali section of Mumbai, suffers from Asperger's syndrome, a form of high-functioning autism that complicates socialization. The adult Rizwan marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who mistake his disability for suspicious behavior. Following his arrest, he meets Radha, a therapist who helps him deal with his situation and his affliction. Rizwan then begins a journey to meet US President Bush to clear his name.",102211.0,8.0
swades,0367110,17 Dec 2004,Drama,"['V.M. Badola', 'Makrand Deshpande', 'Smit Sheth', 'Kishori Ballal', 'Daya Shankar Pandey', 'Rajesh Vivek', 'Rahul Vohra', 'Bachan Pachehra', 'Lekh Tandon', 'Bhim Vakani', 'Rich Petrelli', 'Vishnudutt Gaur', 'Mary Guyer', 'Farrukh Jaffar', 'Shah Rukh Khan', 'Rajesh Balwani', 'Gayatri Joshi', 'Shreyas Pandit', 'Peter Rawley', 'Raja Awasthi']",['Ashutosh Gowariker'],"['Sameer Sharma', 'Ayan Mukherjee', 'Amin Hajee', 'M.G. Sathya', 'Lalit Marathe', 'Ashutosh Gowariker', 'Yashodeep Nigudkar', 'K.P. Saxena', 'Charlotte Whitby-Coles']","['Zarina Mehta', 'Deven Khote', 'Ronnie Screwvala', 'Ashutosh Gowariker', 'Anadil Hossain', 'Srinivas Rao', 'Sunita Gowariker']","Set in modern day India, Swades is a film that tackles the issues that development throws up on a grass root level. It is to this India, which is colorful, heterogeneous and complex that Mohan Bhargava (Shah Rukh Khan), a bright young scientist working as a project manager in NASA, returns to on a quest to find his childhood nanny. The film uses the contrast between the highly developed world of NASA, which has been at the forefront of advances in space research, and this world back home in India, which is at the crossroads of development. Mohan's simple quest becomes the journey that every one of us goes through in search of that metaphysical and elusive place called ""home"".",86584.0,8.2
gangs of wasseypur,1954470,22 Jun 2012,Action & Crime & Drama & Thriller,"['Vasan Bala', 'Omprakash Kashyap', 'Reema Sen', 'Vishnu Kumar', 'Amit Kumar', 'Mohammed Azam Ansari', 'Piyush Mishra', 'Aditya Kumar', 'Harish Khanna', 'Sumit Kumar', 'Vidya Bhushan', 'Yashpal Sharma', 'Upal Dutta', 'Lali Ji', 'Nitin Raj Singh', 'Salim M. Shaikh', 'Vishnu Kunwar', 'Nawazuddin Siddiqui', 'Aditya', 'Suhas Shirsat', 'Janmajaya Singh', 'Shilpa Srivasrava', 'Radhe Shyam Giri', 'Kiran Yaday', 'Sudhanshu Mishra', 'Mahesh', 'Suman Pathak', 'Prerna Tiwari', 'Mahesh Balraj', 'Tripurari Yadav', 'Tigmanshu Dhulia', 'Guddu', 'Rati Shankar Tripathi', 'Sameer Kamble', 'Satyakam Anand', 'Rajat Bhagat', 'Akash Sinha', 'Sujata Das', 'Rajnikant Trigul', 'Vipin Sharma', 'Kaushal Nigel', 'Amritraj Rana', 'Ila Pandey', 'Tarzan Dada', 'Sagar Verma', 'Veena Sahay', 'Neeraj Ghaywan', 'Pravin Singh Sisodia', 'Varun Sinha', 'Naman Jain', 'Anurita Jha', 'Nityanand Singh', 'Gaurav Sharma', 'Khan Saab', 'Siddharth Gupt', 'Vivek Singh', 'Sanjay Singh', 'Jack Wayne', 'Faisal Malik', 'Jameel Khan', 'Vivek Ghamande', 'Ravi', 'Mukesh Chhabra', 'Bobby', 'Sankalp Acharekar', 'Rashmi Yadav', 'Praveen Sisodia', 'Hemangini Ghanekar', 'Chandan Kaif', 'Tilak Raj', 'Pankaj Tripathi', 'Syed Zeeshan Qadri', 'Rohit Pandey', 'Balram Pandey', 'Tez Bahadur Sharma', 'Vijesh Rajan', 'Bhola Nath', 'Sanjeeva Vats', 'Ram Lakhan', 'Jaideep Ahlawat', 'Rajesh Kumar Sharma', 'Heramba Shankar Tripathi', 'Luv Yadav', 'Shubham', 'Sankata Prasad', 'Akshat', 'Manoj Bajpayee', 'Vicky Kaushal', 'Ram Raksha Singh', 'Rajkummar Rao', 'Santosh Singh', 'Shlok Sharma', 'Vinay Mishra', 'Amreesh Srivastava', 'Zafar Khan', 'Rambhu Yadav', 'Shreedhar Dubey', 'Murari Kumar', 'Gaurav Sharma', 'Zeishan Quadri', 'Richa Chadha', 'Shivam', 'Dulaari Devi', 'Niranjan Chaubey', 'Suhas Sirsat', 'Pawan Singh', 'Utkarsh', 'Ashfaque Shaikh', 'Amit Sharma', 'Hasrat Ali', 'Ashtabhuja Mishra', 'Vijay Shukla', 'Pramod Pathak', 'Pranay Narayan', 'Zahir Sheikh', 'Anup Srivastava', 'Vineet Kumar Singh', 'Vijay Tripathi', 'Huma Qureshi', 'Sanjeeva Vatsa', 'Amitabh Kishen Ghanekar', 'Aditya Kumar', 'Karuna Dutt', 'Mamta Tiwari']",['Anurag Kashyap'],"['Anurag Kashyap', 'Sachin K. Ladia', 'Akhilesh Jaiswal', 'Zeishan Quadri']","['Ajay Rai', 'Adi Shankar', 'Jyoti Kapur Das', 'Maitreyee Dasgupta', 'Shivaji Dasgupta', 'Vikram Malhotra', 'Prasanthkumar Chandran', 'Sunil Bohra', 'Apoorva Bakshi', 'Rakesh Bhagwani', 'Shubh Shivdasani', 'Guneet Monga', 'Anurag Kashyap', 'Meraj Shaikh']","Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.",88791.0,8.2
gangs of wasseypur â€“ part 2,1954470,22 Jun 2012,Action & Crime & Drama & Thriller,"['Vasan Bala', 'Omprakash Kashyap', 'Reema Sen', 'Vishnu Kumar', 'Amit Kumar', 'Mohammed Azam Ansari', 'Piyush Mishra', 'Aditya Kumar', 'Harish Khanna', 'Sumit Kumar', 'Vidya Bhushan', 'Yashpal Sharma', 'Upal Dutta', 'Lali Ji', 'Nitin Raj Singh', 'Salim M. Shaikh', 'Vishnu Kunwar', 'Nawazuddin Siddiqui', 'Aditya', 'Suhas Shirsat', 'Janmajaya Singh', 'Shilpa Srivasrava', 'Radhe Shyam Giri', 'Kiran Yaday', 'Sudhanshu Mishra', 'Mahesh', 'Suman Pathak', 'Prerna Tiwari', 'Mahesh Balraj', 'Tripurari Yadav', 'Tigmanshu Dhulia', 'Guddu', 'Rati Shankar Tripathi', 'Sameer Kamble', 'Satyakam Anand', 'Rajat Bhagat', 'Akash Sinha', 'Sujata Das', 'Rajnikant Trigul', 'Vipin Sharma', 'Kaushal Nigel', 'Amritraj Rana', 'Ila Pandey', 'Tarzan Dada', 'Sagar Verma', 'Veena Sahay', 'Neeraj Ghaywan', 'Pravin Singh Sisodia', 'Varun Sinha', 'Naman Jain', 'Anurita Jha', 'Nityanand Singh', 'Gaurav Sharma', 'Khan Saab', 'Siddharth Gupt', 'Vivek Singh', 'Sanjay Singh', 'Jack Wayne', 'Faisal Malik', 'Jameel Khan', 'Vivek Ghamande', 'Ravi', 'Mukesh Chhabra', 'Bobby', 'Sankalp Acharekar', 'Rashmi Yadav', 'Praveen Sisodia', 'Hemangini Ghanekar', 'Chandan Kaif', 'Tilak Raj', 'Pankaj Tripathi', 'Syed Zeeshan Qadri', 'Rohit Pandey', 'Balram Pandey', 'Tez Bahadur Sharma', 'Vijesh Rajan', 'Bhola Nath', 'Sanjeeva Vats', 'Ram Lakhan', 'Jaideep Ahlawat', 'Rajesh Kumar Sharma', 'Heramba Shankar Tripathi', 'Luv Yadav', 'Shubham', 'Sankata Prasad', 'Akshat', 'Manoj Bajpayee', 'Vicky Kaushal', 'Ram Raksha Singh', 'Rajkummar Rao', 'Santosh Singh', 'Shlok Sharma', 'Vinay Mishra', 'Amreesh Srivastava', 'Zafar Khan', 'Rambhu Yadav', 'Shreedhar Dubey', 'Murari Kumar', 'Gaurav Sharma', 'Zeishan Quadri', 'Richa Chadha', 'Shivam', 'Dulaari Devi', 'Niranjan Chaubey', 'Suhas Sirsat', 'Pawan Singh', 'Utkarsh', 'Ashfaque Shaikh', 'Amit Sharma', 'Hasrat Ali', 'Ashtabhuja Mishra', 'Vijay Shukla', 'Pramod Pathak', 'Pranay Narayan', 'Zahir Sheikh', 'Anup Srivastava', 'Vineet Kumar Singh', 'Vijay Tripathi', 'Huma Qureshi', 'Sanjeeva Vatsa', 'Amitabh Kishen Ghanekar', 'Aditya Kumar', 'Karuna Dutt', 'Mamta Tiwari']",['Anurag Kashyap'],"['Anurag Kashyap', 'Sachin K. Ladia', 'Akhilesh Jaiswal', 'Zeishan Quadri']","['Ajay Rai', 'Adi Shankar', 'Jyoti Kapur Das', 'Maitreyee Dasgupta', 'Shivaji Dasgupta', 'Vikram Malhotra', 'Prasanthkumar Chandran', 'Sunil Bohra', 'Apoorva Bakshi', 'Rakesh Bhagwani', 'Shubh Shivdasani', 'Guneet Monga', 'Anurag Kashyap', 'Meraj Shaikh']","Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.",88791.0,8.2
